count	volume	first_ref	form	gloss	proposed_root	rule	root_meaning
4	BOM/NT	BOM 2nephi 9:47	אָעִיר	I awaken	עור	hollow (mater)	(עוֹר) skin; (עוּר) to awake
4	BOM	BOM 2nephi 10:18	וְנִמְנוּ	and be numbered	נומ	hollow	slumber
4	BOM/D&C	BOM 2nephi 10:22	הוֹבִיל	led	יבל	I-yod (vav for yod)	(יָבַל) to lead, carry; (הוֹבִיל) to lead; (
4	BOM/D&C	BOM 2nephi 28:28	יְקַבְּלֶנָּה	he shall receive it	קבל	strong	(קִבֵּל) to receive, accept
4	BOM/NT	BOM 3nephi 1:7	לְהִתְעַצֵּב	to grieve	עצב	strong	to shape, carve; to grieve, pain; idol
4	BOM/NT	BOM 3nephi 1:25	יוֹד	jot	נוד	I-nun	flee
4	BOM/D&C	BOM 3nephi 7:11	מְחֻבָּרִים	united	חבר	heuristic	(חָבַר) to join, unite; (חָבֵר) companion; (
4	BOM	BOM 3nephi 7:13	מַסָּעָם	their march	נסע	heuristic	to pull up, set out, journey
4	BOM/NT	BOM 3nephi 7:17	יַסְפִּיק	is sufficient	ספק	strong	doubt
4	BOM/NT/D&C	BOM 3nephi 9:15	וּבִי	and in me	נוב	I-nun (dagesh)	make
4	BOM	BOM 3nephi 10:4	תַּרְנְגֹלֶת	a hen		(no analysis)	
4	BOM/D&C	BOM 3nephi 18:5	וְהַנִּטְבָּלִים	and are baptized		(no analysis)	
4	BOM/D&C	BOM 3nephi 18:30	תְּקַבְּלוּהוּ	you shall receive him	קבל	heuristic	(קִבֵּל) to receive, accept
4	BOM/D&C	BOM 3nephi 21:22	וְיַקְשִׁיבוּ	and they shall give heed	קשב	strong	heed
4	BOM/OT	BOM 3nephi 22:16	פֶּחָם	the coals	פחמ	strong	coal
4	BOM/D&C	BOM 3nephi 28:34	יַקְשִׁיב	heed	קשב	strong	heed
4	BOM/OT	BOM alma 10:23	תֻּכּוּ	you shall be smitten	נתכ	I-nun (dagesh)	flow forth
4	BOM	BOM alma 11:25	לְהַשְׁמִידֵנִי	to destroy me	שמד	strong	be destroyed
4	BOM/NT	BOM alma 14:2	דִינָם	their lawyers	דינ	heuristic	strive
4	BOM	BOM alma 16:5	לְחַפֵּשׂ	in search of	חפש	strong	(חׇפְשִׁי) free, at liberty; (חִפֵּשׂ) to se
4	BOM	BOM alma 16:21	נִצָּחוֹן	victory	צחנ	strong	
4	BOM/D&C	BOM alma 26:24	פּוֹשֵׁעַ	a transgressor	פשע	strong	into transgression
4	BOM	BOM alma 26:34	לְהֵהָרֵג	to be slain	הרג	strong	be slain
4	BOM/NT/D&C	BOM alma 41:4	יוּקַם	raised	קומ	hollow	rise
4	BOM/NT	BOM alma 43:44	וַיְעוֹרְרוּ	And inspired	ערר	strong	(מְעָרָה) cave; (עֲרִירִי) childless
4	BOM	BOM alma 50:4	לְהַזִּיקָם	do them hurt	זקק	heuristic	(זָקַק) to refine, purge; (זִקִּים) chains
4	BOM	BOM alma 56:39	מַסָּעֵנוּ	our march	נסע	I-nun (dagesh)	to pull up, set out, journey
4	BOM/NT/D&C	BOM alma 57:34	הִגַּעְנוּ	we did arrive	נגע	I-nun (dagesh)	(נָגַע) to touch; (נֶגַע) plague, stroke; (ה
4	BOM/D&C	BOM alma 60:27	לִתְפֹּס	to seize	תפס	strong	seize
4	BOM/NT	BOM ether 2:9	יִירָשֶׁנָּה	shall possess it	ירש	strong	(יָרַשׁ) to inherit, possess; (יֶרְשׁוֹן) Je
4	BOM/D&C	BOM ether 4:18	וְהַנִּטְבָּל	and is baptized	טבל	strong	be baptized
4	BOM/D&C	BOM helaman 4:22	שִׁנּוּ	they altered	שנה	lamed-yod / III-he	year; to change
4	BOM/NT/D&C	BOM mosiah 4:11	וְקִבַּלְתֶּם	and have received	קבל	heuristic	(קִבֵּל) to receive, accept
4	OT/NT	OT 1ki 18:42	וַיִּגְהַר	and he crouched	גהר	strong	prostrate oneself
4	OT/NT	OT 1sa 21:14	רִירוֹ	his foam,	ריר	strong	saliva
4	OT	OT 2ki 1:2	זְבוּב	zebub	זבב	strong	
4	OT/PGP	OT deu 14:2	וּבְךָ	and you	בכה	lamed-yod / III-he	(בָּכָה) to weep; (בְּכִי) weeping
4	OT	OT gen 24:20	וַתָּרׇץ	and she ran	רוצ	hollow	run
4	NT/D&C	NT 1co 9:25	נִפְסָד	corruptible	פסד	heuristic	
4	NT	NT 1co 12:21	אֶצְטָרֵךְ	need		(no analysis)	
4	NT/D&C/PGP	NT 1co 13:2	לְהַעְתִּיק	I-could-remove	עתק	strong	remove
4	NT/D&C	NT 1ti 1:20	יִוָּסְרוּ	they-may-learn	יסר	I-yod (vav for yod)	(יִסַּר) to chasten; (יִסּוּרִים) affliction
4	NT/D&C	NT 1ti 4:13	שָׁקוּד	diligent	שקד	strong	(שָׁקַד) to watch; (שָׁקֵד) almond
4	NT/D&C	NT 2ti 2:14	לַעֲסֹק	strive	עסה	heuristic	
4	NT/PGP	NT acts 5:17	כַּת	the-sect-of	כתת	geminate	to beat, crush
4	NT	NT acts 13:39	לְהִצְטַדֵּק	be-justified		(no analysis)	
4	NT	NT john 12:25	יְאַבְּדֶנָּה	shall lose it;	אבד	strong	(אָבַד) to perish, be lost; (אׇבְדָן) loss, 
4	NT	NT john 13:38	הַתַּרְנְגֹל	the cock		(no analysis)	
4	NT	NT mark 11:32	הֲנֹאמַר	shall-we-say	אמר	strong	(אָמַר) to say, speak; (לֵאמֹר) saying; (אֵמ
4	NT	NT mark 15:30	מִן־הַצְּלוּב	from the cross.	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
4	NT/D&C	NT matt 10:39	יִמְצָאֶנָּה	shall find it.	מצא	strong	to find, discover, attain
4	NT	NT rev 4:5	וּרְעָמִים	and-thunderings	רעה	heuristic	(רַעְיָה) my love; (מִרְעֶה) pasture
4	D&C	D&C dc101_110 1:10	קֹדֶמֶת	former,	קדמ	strong	meet
4	D&C/PGP	D&C dc101_110 1:92	מַעֲנִיק	bestows	ענק	strong	(עֲנָק) Anak, the Anakim; necklace
4	D&C/PGP	D&C dc11_20 1:1	וּבְשׂוֹרַת	and the gospel of	שור	hollow (mater)	ox
4	D&C	D&C dc51_60 1:22	בּ.	B.		(no analysis)	
4	D&C	D&C dc61_70 1:31	מַכְרִיז	declare	כרז	heuristic	(הִכְרִיז) to proclaim
4	PGP	PGP js_history 1:4	1823	1823,		(no analysis)	
3	BOM/NT/PGP	BOM 1nephi 1:15	וַתָּגֶל	and rejoiced	גלה	lamed-yod / III-he	to uncover, reveal; to go into exile
3	BOM	BOM 1nephi 3:26	וַנָּנָס	and we did flee	נוס	hollow	to flee, escape
3	BOM/D&C	BOM 1nephi 10:3	וְיוּשְׁבוּ	yea, even be brought back	ישב	I-yod (vav for yod)	to dwell, sit, inhabit
3	BOM	BOM 1nephi 10:13	לְהוֹבִיל	to lead	יבל	I-yod (vav for yod)	(יָבַל) to lead, carry; (הוֹבִיל) to lead; (
3	BOM/OT/NT	BOM 1nephi 12:4	הֲמֻלָּה	tumult	מלל	haqtalah (geminate)	(מִלָּה) word; (מִלֵּל) to speak
3	BOM	BOM 1nephi 16:11	צֵידָתֵנוּ	our provisions	צוד	hollow (mater)	to hunt; stronghold, fortress
3	BOM	BOM 1nephi 16:28	וְהַשְּׁקִידָה	and diligence	שקד	strong	(שָׁקַד) to watch; (שָׁקֵד) almond
3	BOM/OT	BOM 1nephi 22:7	וּבָם	and by them	יבמ	I-yod (vav for yod)	marry
3	BOM	BOM 2nephi 1:13	לְהוֹבִילָם	to lead them		(no analysis)	
3	BOM/D&C	BOM 2nephi 1:14	אֵבָרָיו	his limbs	ברה	lamed-yod (yod hides the he)	covenant
3	BOM/NT/D&C	BOM 2nephi 1:31	יַזִּיק	shall harm	זקק	geminate	(זָקַק) to refine, purge; (זִקִּים) chains
3	BOM/OT	BOM 2nephi 5:21	כַּחַלָּמִישׁ	like a flint	חלמש	heuristic	
3	BOM/OT	BOM 2nephi 12:4	לְאִתִּים	into plowshares	אתה	heuristic	you
3	BOM/OT/NT	BOM 2nephi 17:19	וּבִנְקִיקֵי	and in the holes of	נקק	strong	
3	BOM/OT	BOM 2nephi 21:1	חֹטֶר	a rod	חטר	strong	twig
3	BOM/OT	BOM 2nephi 21:8	הָדָה	shall put	הדה	strong	stretch
3	BOM	BOM 2nephi 28:27	נִצְטָרֵךְ	shall we need		(no analysis)	
3	BOM/D&C	BOM 3nephi 1:23	מַטְבִּילִים	baptizing	טבל	heuristic	be baptized
3	BOM/D&C	BOM 3nephi 3:14	הַנִּמְנִים	those numbered	הנה	heuristic	(הִנֵּה) behold, here, look; (הֵנָּה) these,
3	BOM	BOM 3nephi 11:22	תַטְבִּילוּ	you shall baptize	טבל	strong	be baptized
3	BOM	BOM 3nephi 11:26	תַּטְבִּילוּ	you shall baptize	טבל	strong	be baptized
3	BOM	BOM 3nephi 16:10	בְּגַאֲוָתָם	in their pride	גאה	heuristic	(גַּאֲוָה) pride; (גָּאָה) to be exalted
3	BOM	BOM 3nephi 27:1	וַיַּטִּיפוּ	and preaching	טפפ	geminate	trip
3	BOM	BOM 4nephi 1:29	עַנְוָתָם	their humility	עינ	heuristic	fountain
3	BOM	BOM 4nephi 1:43	לְהִתְגָּאוֹת	to be proud	גאה	lamed-yod / III-he	(גַּאֲוָה) pride; (גָּאָה) to be exalted
3	BOM/D&C	BOM alma 1:7	מִמּוֹרֵיהֶם	of their teachers	מרר	heuristic	(מַר) bitter; (מֹר) myrrh; (מָרַר) to be bit
3	BOM/D&C	BOM alma 2:3	פִּתּוּיֵי	persuasions of	פתה	lamed-yod (yod hides the he)	(פִּתָּה) to entice, deceive
3	BOM/NT/D&C	BOM alma 4:3	הַנִּשְׁלָחִים	were sent		(no analysis)	
3	BOM/OT/D&C	BOM alma 7:20	עֲקַלְקַלּוֹת	crooked		(no analysis)	
3	BOM	BOM alma 11:3	סְנוּם	a senum of		(no analysis)	
3	BOM/D&C	BOM alma 12:4	עֲרוּמָה	cunning	ערמ	strong	be
3	BOM/D&C	BOM alma 12:18	לְהִגָּאֵל	be redeemed	גאל	strong	to redeem, deliver; kinsman-redeemer
3	BOM	BOM alma 17:5	קָרוּ	attended	קרה	lamed-yod / III-he	(קָרָה) to happen, befall; (קִרְיָה) city, t
3	BOM/NT/PGP	BOM alma 21:23	וַיַּקְשִׁיבוּ	and they gave heed	קשב	strong	heed
3	BOM/PGP	BOM alma 22:19	וַתְּצַו	and commanded	נתצ	I-nun (dagesh)	tear
3	BOM	BOM alma 29:11	אֶת־שִׁבְיַת	the captivity of	שבה	lamed-yod (yod hides the he)	to take captive; captivity
3	BOM/D&C	BOM alma 30:27	בִּיגִיעַ	with the labors of	גוע	hollow (mater)	perish
3	BOM/D&C	BOM alma 30:43	אִוָּכַח	I may be convinced	יכח	I-yod (vav for yod)	to reprove, argue, set right
3	BOM/D&C	BOM alma 32:14	מְבֹרָכִים	they are blessed	רככ	heuristic	soften
3	BOM/NT	BOM alma 32:35	טְעַמְתֶּם	you have tasted	טעמ	heuristic	taste
3	BOM/D&C	BOM alma 34:31	תּוּבָא	shall be brought	בוא	hollow	(בּוֹא) to come, enter; (הֵבִיא) to bring
3	BOM	BOM alma 41:11	בְּיִצְרָם	are in a state of nature	בצר	heuristic	fortification
3	BOM/NT/D&C	BOM alma 45:21	יֻגַּד	should be declared	נגד	I-nun (dagesh)	(נֶגֶד) before, against; (הִגִּיד) to tell, 
3	BOM/D&C	BOM alma 46:39	נִפְדּוּ	were redeemed	פדה	lamed-yod / III-he	redeemed
3	BOM	BOM alma 48:16	בְּהַצָּלַת	in preserving	נצל	I-nun (dagesh)	to deliver, rescue, save
3	BOM	BOM alma 52:23	לָסֶגֶת	to retreat	סוג	hollow	(נָסוֹג) to turn back, retreat
3	BOM	BOM alma 56:54	כִּשְׁבוּיֵי	as prisoners of	שבה	lamed-yod (yod hides the he)	to take captive; captivity
3	BOM	BOM alma 60:9	אֶת־צֵידָתָם	their provisions	ציד	heuristic	food
3	BOM	BOM ether 2:6	סְפִינוֹת	barges	ספנ	strong	hide by covering
3	BOM/D&C	BOM ether 2:25	גַּלֵּי	the waves of	גלה	lamed-yod (yod hides the he)	to uncover, reveal; to go into exile
3	BOM/D&C	BOM ether 8:25	הַמְשַׁקֵּר	the liar	שקר	strong	to deal falsely, lie; falsehood, deception
3	BOM/NT/D&C	BOM ether 12:8	לְהִשְׁתַּתֵּף	be partakers		(no analysis)	
3	BOM/D&C	BOM ether 15:3	נִתְקַיְּמוּ	they were fulfilled	קומ	heuristic	rise
3	BOM	BOM ether 15:19	מֵהֵאָבֵק	striving	אבק	strong	dust
3	BOM	BOM helaman 7:13	נִקְהַלְתֶּם	you have assembled	קהל	heuristic	(קָהָל) assembly, congregation; (קְהִלָּה) c
3	BOM/NT/D&C	BOM helaman 9:20	קָשׁוּר	art bound	קשר	strong	conspiracy
3	BOM/NT/D&C	BOM helaman 10:7	תַּתִּיר	you shall loose	תור	hollow (mater)	(תּוּר) to spy out, search
3	BOM/NT	BOM helaman 15:4	בִּקְרִיאַת	at the preaching of	קרא	strong	(קָרָא) to call, proclaim, read; (מִקְרָא) c
3	BOM/NT	BOM jarom 1:11	מַזְהִירִים	exhorting	זהר	heuristic	(הִזְהִיר) to warn, admonish, exhort; (זֹהַר
3	BOM/NT	BOM mormon 7:5	עֹקֶץ	the sting of	עקצ	strong	
3	BOM/PGP	BOM mosiah 2:30	בְּנַסּוֹתִי	while attempting	סות	hollow (mater)	to entice, incite, stir up
3	BOM/D&C/PGP	BOM mosiah 5:8	נַעֲשֵׂיתֶם	you are made	עשה	heuristic	(עָשָׂה) to do, make; (מַעֲשֶׂה) work, deed
3	OT	OT 1ch 21:3	כָּהֵם	so-many-more-as-they-are	המה	lamed-yod / III-he	(הֵמָּה) they, them; (הָמוֹן) multitude; (הָ
3	OT/PGP	OT 1ki 12:10	עָבָה	it is thick	עבה	strong	be dense
3	OT	OT 1ki 21:21	מֵבִי	will bring	ביי	hollow (yod)	
3	OT/NT	OT 1sa 21:14	וַיְתָו	and wrote	תוה	lamed-yod / III-he	mark out
3	OT/NT	OT deu 25:4	לֹא־תַחְסֹם	you-shall-not-muzzle	חסמ	strong	muzzle
3	OT	OT deu 28:4	שְׁגַר	the young of	שגר	strong	fœtus
3	OT/NT	OT est 5:2	וַיּוֹשֶׁט	and extended	ישט	I-yod (vav for yod)	extend
3	OT	OT eze 4:14	פִּגּוּל	unclean meat	פגל	strong	
3	OT	OT eze 13:11	אֶלְגָּבִישׁ	hail		(no analysis)	
3	OT	OT eze 18:2	תִּקְהֶינָה	are set on edge	קהה	lamed-yod (yod hides the he)	be dull
3	OT	OT eze 23:17	וַתֵּקַע	and was alienated	תקע	strong	to blow (a trumpet), thrust, drive
3	OT/PGP	OT gen 1:2	מְרַחֶפֶת	was hovering	רחפ	strong	brood
3	OT	OT gen 17:23	וַיָּמׇל	and he circumcised	מול	hollow	(מוּל) facing, over against; to circumcise
3	OT/NT	OT gen 24:65	הַלָּזֶה	this	לוז	haqtalah (hollow)	depart
3	OT	OT gen 30:38	בָּרְהָטִים	in the gutters	רהט	heuristic	channel
3	OT	OT hos 4:14	יִלָּבֵט	he will be ruined	לבט	strong	fall
3	OT	OT hos 6:4	מַשְׁכִּים	early	כומ	hollow (mater)	
3	OT	OT hos 13:10	אֱהִי	where is	אהה	lamed-yod (yod hides the he)	(אֲהָהּ) alas!
3	OT	OT isa 20:2	וְיָחֵף	and-barefoot	יחפ	I-yod (vav for yod)	unsandalled
3	OT	OT isa 28:25	קֶצַח	the-black-seeds	קצח	strong	fennel-flower
3	OT	OT jdg 1:14	וַתִּצְנַח	and she went down	צנח	strong	alight
3	OT	OT job 9:27	וְאַבְלִיגָה	and I will be cheerful	בלג	strong	break off
3	OT	OT jon 2:6	אֲפָפוּנִי	they encompassed me	אפפ	heuristic	surround
3	OT	OT lev 2:2	וְקָמַץ	and he will take a handful	קמצ	strong	grasp
3	OT	OT lev 13:42	בְגַבַּחְתּוֹ	on his bald forehead	גבח	strong	bald
3	OT	OT lev 13:51	מַמְאֶרֶת	malignant	מאר	strong	be bitter
3	OT	OT pro 15:13	נְכֵאָה	is stricken	נכא	strong	smite
3	OT/NT	OT psa 14:3	נֶאֱלָחוּ	they have become foul	אלח	strong	muddle
3	NT	NT 1co 2:2	הַנִּצְלָב	crucified	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
3	NT	NT 1co 7:27	לְהִפָּטֵר	to-be-loosed	פטר	strong	(פֶּטֶר) that which opens; (פֶּטְרוֹס) Peter
3	NT/D&C	NT 1co 9:10	חוֹשֵׁשׁ	taketh-care	חשש	strong	grass
3	NT	NT 1co 15:9	מֵהִקָּרֵא	worthy to be called	קרא	strong	(קָרָא) to call, proclaim, read; (מִקְרָא) c
3	NT	NT 1jn 2:8	גַּם־בָּכֶם	and-in-you	גממ	geminate	
3	NT	NT 1th 2:8	חֲבִיבִים	beloved-ones	חבב	heuristic	(חָבַב) to cherish
3	NT/PGP	NT 1ti 5:16	פַּרְנָסָה	them		(no analysis)	
3	NT	NT 2co 1:4	הַנִּלְחָצִים	them-which-are		(no analysis)	
3	NT	NT 2co 1:6	נֶחָמַתְכֶם	your-consolation	חמה	heuristic	wall; heat, fury
3	NT	NT 2co 7:9	נֶעֱצַבְתֶּם	you-were-made-sorry	עצב	heuristic	to shape, carve; to grieve, pain; idol
3	NT	NT 2co 7:11	זְרִיזוּת	carefulness		(no analysis)	
3	NT/D&C	NT acts 5:34	בְּסַנְהֶדְרִין	in-the-council		(no analysis)	
3	NT/D&C	NT acts 9:5	לִבְעֹט	to-with-a stylus of	בעט	strong	trample
3	NT/D&C	NT acts 9:5	בַּדָּרְבֹנוֹת	in-the-goads	דרב	heuristic	
3	NT	NT acts 15:20	הַנֶּחֱנָק	things-strangled,	חנק	strong	be narrow
3	NT	NT acts 19:19	דִּינָרִים	denarii		(no analysis)	
3	NT/D&C	NT acts 21:13	לְהֵאָסֵר	not-to-be-bound-only,	אסר	strong	(אָסַר) to bind; forbid; (אֲסוּרִים) prison,
3	NT	NT acts 26:9	הָגוּן	that-I-ought	גונ	hollow (mater)	
3	NT	NT col 3:13	תִּמְחֲלוּ	you-will-forgive	מחל	strong	(מָחַל) to forgive, pardon
3	NT/D&C	NT gal 4:17	לְהַפְרִיד	to-separate	פרד	strong	(פָּרַד) to separate, be parted
3	NT	NT heb 6:6	לִצְלֹב	afresh	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
3	NT	NT heb 12:2	אֶת־הַצְּלוּב	the cross,	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
3	NT/PGP	NT heb 12:27	שִׁנּוּי	the-removing-of	שנה	lamed-yod (yod hides the he)	year; to change
3	NT/D&C	NT john 6:64	הַמּוֹסֵר	should betray	יסר	I-yod (vav for yod)	(יִסַּר) to chasten; (יִסּוּרִים) affliction
3	NT	NT john 19:18	וַיִּצְלְבוּ	they crucified	צלב	strong	(צְלָב) cross; (צָלַב) to crucify
3	NT	NT john 19:29	סְפוֹג	a spunge		(no analysis)	
3	NT	NT luke 5:33	וְתַלְמִידֶיךָ	but your disciples	למד	heuristic	(לָמַד) to learn, teach; (תַּלְמִיד) discipl
3	NT	NT luke 9:24	וְהַמְאַבֵּד	and whoever loses	אבד	strong	(אָבַד) to perish, be lost; (אׇבְדָן) loss, 
3	NT	NT luke 9:25	שֶׁיִּקְנֶה	if he shall gain	שוק	hollow (mater)	(שׁוֹק) thigh; (שׁוּק) street, market
3	NT/D&C	NT luke 14:11	וְהַמַּשְׁפִּיל	and he that humbleth	שפל	strong	(שָׁפָל) low, lowly; (שְׁפֵלָה) the Shephela
3	NT	NT luke 18:16	וְאַל־תִּמְנָעוּם	and forbid them not:	יאל	I-yod (vav for yod)	be slack
3	NT	NT luke 18:25	הַמַּחַט	a needle,	חוט	hollow	string together
3	NT/PGP	NT luke 22:37	שֶׁצָּרִיךְ	that	צרכ	strong	need
3	NT/PGP	NT luke 24:9	וַתַּגֵּדְנָה	and told	נגד	I-nun (dagesh)	(נֶגֶד) before, against; (הִגִּיד) to tell, 
3	NT	NT mark 7:13	קַבָּלַתְכֶם	your tradition,		(no analysis)	
3	NT/D&C	NT mark 7:30	וְהַשֵּׁד	and the devil	שדה	lamed-yod / III-he	field, open country
3	NT	NT mark 9:43	תַכְשִׁילְךָ	offend you,	כשל	heuristic	stumble
